title,lyrics
kick-it,"1 so what's the answer? so what are you gonna do now? i'll break your, break your heart never asked for much don't even try, oh-oh don't pick up the words i just tossed around i ain't nothin' like the same, same girls that you've had yeah, i just do what i want the dark night might take me away but now i can dance for myself i'll jump over the that is you i'll kick it if you're down, kick it if you're down can i kick it? yeah! in the dark sky i'm going to cause a scene and light it on fire can i kick it? yeah! i'm going to destroy the world that is you and shine brightly and i'm letting it out i have nothing to lose i'm going to find myself i'm okay being alone don't feel bad for me i'm going to forget you now 2 never needed nothin' else just a lil' love from myself when you couldn't be the one to help had to kick it and i did it tell whoever you wanna tell get kicked to the curb, ya kicked out never kick a girl when she kicked down who you gon' kiss now? know you gon' miss how i move from the top to the bottom of my kicks now the dark night might take me away but now i can dance for myself i'll jump over the that is you i'll kick it if you're down, kick it if you're down can i kick it? yeah! in the dark sky i'm going to cause a scene and light it on fire can i kick it? yeah! i'm going to destroy the world that is you and shine brightly and i'm letting it out i have nothing to lose i'm going to find myself i'm okay being alone don't feel bad for me i'm going to forget you now so what's the answer? so what are you gonna do now? i'm leaving your frustrating world and flying above it i'll kick it how i wanna kick it when i wanna kick it no, you can't tell me not to kick it 'cause i'm 'bout to kick it i'll kick it how i wanna kick it when i wanna kick it no, you can't tell me not to kick it 'cause i'm 'bout to kick it and i'm letting it out i have nothing to lose i'm going to find myself i'm okay being alone don't feel bad for me i'm going to forget you now"
hope-not,"1 i sit by the window where cool air blows i think of you while looking at the far sky i must be a fool who can't be helped even when the four seasons change, i don’t even if they say there's no point in regretting i'll keep thinking of you i was wrong as if nothing happened i will smile if i see you for you, i’m okay with being hurt 'cause when we were together i only gave you scars but you, the love you want you need to meet someone better than me and be happy but i hope not to the point where you forget me 2 i can't asleep this night under the moonlight no matter how much i wait, you won't come next to me is an empty space i'm not a stranger to being alone anymore even if they say there's no point in regretting i'll keep thinking of you i was wrong as if nothing happened i will smile if i see you for you, i'm okay with being hurt ’cause when we were together i only gave you scars but you, the love you want you need to meet someone better than me and be happy but i hope not to the point where you forget me yeah-yeah, yeah-yeah where you forget me yeah-yeah, yeah-yeah yeah-yeah, yeah-yeah where you forget me yeah-yeah, yeah-yeah still at this place, i can’t forget about you for you, i'm okay with being hurt ’cause when we were together i only gave you scars but you, the love you want you need to meet someone better than me and be happy but i hope not to the point where you forget me"
as-if-its-your-last,"little bit of that little bit of this little bit of that gimme, gimme, gimme gimme little bit of that 1 gimme little bit of that who are you to make me keep thinking of you? gimme little bit of this my pride is bruised, i'm burning up my face is hot, my heart keeps racing i can't control my body, i'm getting dizzy gimme little bit of that you're like a fistful of sand gimme little bit of this it's like i can hold you, but i can't you're not easy, that's why i want you more i can't control my heart, it's ridiculous can you feel my breath wanting you right now? even when i'm looking at you, i'm missing you i'm so bad at this, won't you set me free? baby, hold me 'til i explode stop thinking, what's so hard about this? kiss me like it's a lie as if i'm your last love as if it's the last, as, as, as if it's the last as if it's the last night, love as if it's the last, as, as, as if it's the last as if there's no tomorrow, love 2 uh, i'ma in love, baby you gon' finna catch me, uh give you of this, baby me pretty and nasty 'cause we gonna get it, my love you can bet it on black we gon' double the stack on them, whoo i be the bonnie and you be my clyde we ride or die, xs and os time is ticking i'm getting impatient only you are my world, missing you i'm so bad at this, won't you set me free? baby, hold me 'til i explode stop thinking, what's so hard about this? kiss me like it's a lie as if i'm your last love as if it's the last, as, as, as if it's the last as if it's the last night, love as if it's the last, as, as, as if it's the last as if there's no tomorrow, love one, two, three, it's a new beginning because i won't ever look back if i throw myself at you, please catch me because the world can't bring us down spoken blackpink in your area blackpink in your— baby, hold me 'til i explode stop thinking, what's so hard about this? kiss me like it's a lie as if i'm your last love as if it's the last, as, as, as if it's the last as if it's the last night, love as if it's the last, as, as, as if it's the last as if there's no tomorrow, love"
how-you-like-that,"blackpink in your area 1 i crumbled before your eyes hit rock bottom and sunk deeper to grab onto the last bit of hope i've tried to reach out with both my hands again, in this dark place, light up the sky while looking into your eyes, i'll kiss you goodbye laugh you want while you still can because it's about to be your turn, one, two, three ha, how you like that? ah you gon' like that, that-that-that, that, that-that-that, that how you like that? bada bing, bada boom, boom, boom how you like that, that-that-that, that, that-that-that, that now, look at you, now look at me uh look at you, now look at me uh look at you, now look at me how you like that? now, look at you, now look at me uh look at you, now look at me uh look at you, now look at me how you like that? 2 your girl needs it and that's a hundred 10 out of 10, i want what's mine karma come and get some i feel bad, but there's nothing i can do what's up? i'm right back trigger the cock back plain jane get hijacked, don't like me? then tell me, how you like that, like that? again, in this dark place, light up the sky while looking into your eyes, i'll kiss you goodbye laugh you want while you still can because it's about to be your turn, one, two, three ha, how you like that? ah you gon' like that, that-that-that, that, that-that-that, that how you like that? bada bing, bada boom, boom, boom how you like that, that-that-that, that, that-that-that, that now, look at you, now look at me uh look at you, now look at me uh look at you, now look at me how you like that? now, look at you, now look at me uh look at you, now look at me uh look at you, now look at me how you like that? the day i fell without my wings those dark days where i was trapped you should've ended me when you had the chance interlude look up in the sky it's a bird, it's a plane yeah-eh-eh-eh bring out the boss bitch yeah-eh-eh-eh blackpink! ddu, ddu, ddu, ddu-ddu-ddu ddu, ddu, ddu, ddu-ddu-ddu how you like that? ddu, ddu, ddu, ddu-ddu-ddu ddu, ddu, ddu, du-du-du-ddu you gon' like that ddu, ddu, ddu, ddu-ddu-ddu ddu, ddu, ddu, ddu-ddu-ddu how you like that? ddu, ddu, ddu, ddu-ddu-ddu ddu, ddu, ddu, du-du-du-ddu"
lovesick-girls,"lovesick girls lovesick girls 1 endless night love trapped us in a windowless room love what can we say? long for love even though it hurts every time love 2 get hurt and break down, i don't know what's making me hold on if i leave anyway, i'll hate you in my pained state we can't end it before it's over it's as if we've been waiting for this agony maybe it's just for a moment what are we looking for so aimlessly but i don't care, i'll do it over and over i just need you in my life we are the lovеsick girls you can't just end this love on your own we arе the lovesick girls i'm nothing without this pain but we were born to be alone yeah, we were born to be alone yeah, we were born to be alone but why we still looking for love? 3 no love letters, no x and o's no love, never, my exes know no diamond rings, that set in stone to the left, better left alone didn't wanna be a princess, i'm priceless a prince not even on my list love is a drug that i quit no doctor could help when i'm lovesick maybe it's just for a moment what are we looking for so aimlessly? looking at you with my anxious gaze you're i need, even if it hurts we are the lovesick girls you can't just end this love on your own we are the lovesick girls i'm nothing without this pain but we were born to be alone yeah, we were born to be alone yeah, we were born to be alone but why we still looking for love? love is slippin' and love is killin' your darlin' that fearless thrill returns once the pain subsides can't hear what you say i'm happy with this pain you pity me, but i pity you more for pitying me we are the lovesick girls you can't just end this love on your own we are the lovesick girls i'm nothing without this pain interlude one, two lovesick girls everyone leaves lovesick girls i've become numb to crying lovesick girls hurt over and over again lovesick girls but we're still looking for love"
pretty-savage,"uh-huh, uh-huh uh-huh, uh-huh rrr blackpink in your area uh-huh, uh-huh blackpink in your area uh-huh, uh-huh 1 it seems similar, we are different from the core even if we're embarrassed, we are the best on the stage born skinny, bitch, thin, no matter of how much weight i gain slow at calculation, but fast at sense i don't want to talk about popularity, my mouth would only hurt f boys, not my boys, i cut them off in slices if you get our name wrong, ddu-du-ddu-du hit drip, drip, ice it out, bust it down, top to the bottom oh-oh-oh-oh black, pink up in it, make it lit, like oh-oh-oh-oh ""yeah, we some bitches you can't manage"" i make this difficult thing again we are pretty savage we somе pretty savage ooh bah-dah-bah-bah you bettеr run, run, run ooh bah-dah-bah-bah you better run, run, run my diamonds, they yellow or bright white bing got 'em blind can't find me, i'm outta sight sight if you mad stay mad, we not alike uh-uh s-a-v-a-g-e, keep it pretty, pretty savage 2 i wore something similar to you, but it looks better on me when i show up, people scramble to lay down the carpet first i was black, i was pink, i can shapeshift if i want your jealousy is the problem, maybe i'm the problem oh-oh-oh-oh black, pink up in it, make it rain, like oh-oh-oh-oh ""yeah, we some bitches you can't manage"" i make this difficult thing again we are pretty savage we some pretty savage ooh bah-dah-bah-bah you better run, run, run ooh bah-dah-bah-bah you better run, run, run my diamonds, they yellow or bright white bing got 'em blind can't find me, i'm outta sight sight if you mad stay mad, we not alike uh-uh s-a-v-a-g-e, keep it pretty, pretty savage pretty girl pretty girl i smile, but i'm not weak and i wish you would wish you would the rain and wind blows, the higher it flies i got nothin' left to say to you if you want, i'll show you attitude i don't have to say anything, you know everything you know savage, you look the part and look pretty savage so pretty, pretty, pretty, pretty savage, you look the part and look pretty savage so pretty, pretty, pretty, pretty"
you-never-know,"1 on the day when i laughed hard why is the night darker? it keeps bringing me down down, down hmm, the words that everyone said so easily maybe you can hear it soon i've heard enough i've heard enough of the things that i'm not even if the whole world changes i'm still the same i dreamed of this path i walked as it was then, as it was then the first time i danced every day i was left there both but you'll never know unless you walk in my shoеs you'll never know, my tangled strings 'causе everybody sees what they wanna see it's easier to judge me than to believe the old thoughts i hid deeply sometimes grabbing me and tormenting me the more i do, i'ma shine, baby you know they ain't got a shot on me 2 sunday night, i've been by my bed i've been over my head wonderin' if i gotta try and pretend i don't know what day it is i'm afraid i'll find myself hoping to know the brighter that light gets my shadow is getting longer when it's too dazzling will i be able to see behind you? even if the whole world changes i'm still the same i dreamed of this path i walked as it was then, as it was then the first time i danced every day i was left there but you'll never know unless you walk in my shoes you'll never know, my tangled strings 'cause everybody sees what they wanna see it's easier to judge me than to believe the old thoughts i hid deeply sometimes grabbing me and tormenting me the more i do, i'ma shine, baby you know they ain't got a shot on me you can't sink, i know well i can't fly while looking at the ground across the clouds, it's still bright i've been drawing in the picture even in the torn places so i can empty everything and laugh i wanna face me, who i didn't want to see, eh i remember, so i'll be okay make flowers bloom in my blue room i'll always be waiting but you'll never know unless you walk in my shoes you'll never know, my tangled strings 'cause everybody sees what they wanna see it's easier to judge me than to believe the old thoughts i hid deeply sometimes grabbing me and tormenting me the more i do, i'ma shine, baby you know they ain't got a shot on me"
sour-candy,"sou-sour candy sou-sour candy i'm sour candy so sweet then i get a little angry, yeah sour candy, yeah, yeah, yeah, yeah, yeah i'm super psycho make you crazy when i turn the lights low sour candy, yeah, yeah, yeah, yeah 1 lady gaga ask me to be nice and then i'll do it extra mean 'cause it don't matter, yeah we know we'll get the streams inside got a heart of gold but no, don't tell the streets, nah nah if you wanna fix me, then let's break up here and now but if you wanna win me then let's make up, not down so tell me that i'm special when i walk in you say wow uh-huh, uh-huh oh refrain lady gaga i'm hard on the outside but if you give me time then i could make time for your love i'm hard on the outside but if you see inside, inside, inside 2 lady gaga i might be messed up but i know what's up you want a real taste at least i'm not a fake come, come, unwrap me come, come, unwrap me i'll show you what's me close your eyes, don't peek now i'm undressing unwrap sour candy come, come, unwrap me come, come, unwrap me come on, sour candy oh, oh, oh-oh refrain lady gaga i'm hard on the outside but if you give me time then i could make time for your love i'm hard on the outside but if you see inside, inside, inside i'm sour candy so sweet then i get a little angry, yeah sour candy, yeah, yeah, yeah, yeah, yeah i'm super psycho make you crazy when i turn the lights low sour candy, yeah, yeah, yeah, yeah lady gaga take a bite, take a bite s-sour candy sour candy take a bite, take a bite uh s-sour candy take a bite, take a bite s-sour candy sour candy take a bite, take a bite uh sour candy"
ice-cream,"1 selena gomez, come a little closer 'cause you lookin' thirsty i'ma make it better, sip it like a slurpee snow cone chilly, get it free like willy oh in the jeans like billie, you be poppin' like a wheelie even in the sun, you know i keep it icy you could take a lick, but it's too cold to bite me hahaha brr, brr, frozen, you're the one been chosen play the part like moses, keep it fresh like roses oh selena gomez look so good, yeah, look so sweet hey lookin' good, enough to eat coldest with the kiss, so he me ice cream catch me in the fridge, right where the ice be look so good, yeah, look so sweet hey baby, you deserve a treat diamonds on my wrist, so he me ice cream you could double-dip 'cause i know you like me ice cream chillin', chillin', ice cream chillin' ice cream chillin', chillin', ice cream chillin' 2 selena gomez, i know that my heart can be so cold but i'm sweet for you, come put me in a cone in a cone you're the only touch, yeah, they get me melting he's my favorite flavor, always gonna pick him you're the cherry piece, just stay on top of me, so i can't see nobody else for me, no get it, flip it, scoop it, do it like that, oh yeah, oh yeah like it, love it, lick it, do it like la-la-la, oh yeah selena gomez look so good, yeah, look so sweet hey lookin' good, enough to eat coldest with the kiss, so he me ice cream catch me in the fridge, right where the ice be look so good, yeah, look so sweet hey baby, you deserve a treat diamonds on my wrist, so he me ice cream you could double-dip 'cause i know you like me ice cream chillin', chillin', ice cream chillin' ice cream chillin', chillin', ice cream chillin' ice cream chillin', chillin', ice cream chillin' ice cream chillin', chillin', ice cream 3 chillin' like a villain, yeah, ra-ra-ra pedal to the metal in my la ferra' so fast, you keep slippin', if you want it, i just get it makin' millis, billis everyday, got ice on my wrist for the summer keep it movin' like my lease up think you fly, boy, where your visa? mona kinda needs an ice cream man that treats her keep it movin' like my lease up think you fly, boy, where your visa? mona kinda needs an ice cream man that treats her hey selena gomez na, na-na-na-na na, na-na-na-na hey ice on my wrist, yeah, i like it like this get the bag with the cream if you know what i mean ice cream, ice cream, ice cream chillin' na, na-na-na-na na, na-na-na-na hey ice on my wrist, yeah, i like it like this and i'm nice with the cream if you know what i mean ice cream, ice cream, ice cream"
kiss-and-make-up,"1 dua lipa we haven't talked morning bang my head, bang my head against the i'm scared, i'm losing losing my control and i'm tired of talking feel myself saying the same old things but this love's important don't wanna lose, don't wanna lose you this way dua lipa i, i, i, i, i, i, i, i, i, i feel like we about to break up i, i, i, i, i, i, i, i, i, i just wanna kiss and make up one last time dua lipa touch me like you touch nobody put your hands up on me tired of hearing sorry kiss and make, kiss, kiss and make up how about we leave this party? 'cause i want is you up on me tired of hearing sorry kiss and make, kiss, kiss and make up kiss, kiss and make up kiss and make, kiss, kiss and make up kiss, kiss and make up kiss and make, kiss, kiss and make up 2 아직 너를 못 떠나고 뭘 하고 있는 건지 언젠가는 다 끝날 걸 떠날 걸 알지만 고장 난 우릴 다시 고쳐 볼 수는 없을지 아무런 말도 넌 하지 마 마지막은 없어 i, i, i, i, i, i, i, i, i, i feel like we about to break up i, i, i, i, i, i, i, i, i, i just wanna kiss and make up one last time touch me like you touch nobody put your hands up on me tired of hearing sorry kiss and make, kiss, kiss and make up how about we leave this party? 'cause i want is you up on me tired of hearing sorry kiss and make, kiss, kiss and make up kiss, kiss and make up kiss and make, kiss, kiss and make up kiss, kiss and make up kiss and make, kiss, kiss and make up dua lipa, 그게 뭐가 되었건 다 필요 없어, 너면 됐어 so tell me, can we work this whole thing out? work this whole thing out 날 첨 만났던, 설레던 순간 그때처럼 so tell me, can we work this whole thing out? work this whole thing out kiss, kiss and make up dua lipa, touch me like you touch nobody put your hands up on me tired of hearing sorry kiss and make, kiss, kiss and make up how about we leave this party? 'cause i want is you up on me tired of hearing sorry kiss and make, kiss, kiss and make up kiss, kiss and make up kiss and make, kiss, kiss and make up kiss, kiss and make up kiss and make, kiss, kiss and make up dua lipa blackpink kiss, kiss and make up kiss and make, kiss, kiss and make up kiss, kiss and make up kiss and make, kiss, kiss and make up"
crazy-for-you,"1 i've been known to kiss and tell send girls to wishing wells if you're my man, i want you to myself i know i'll have enemies long as you're into me but i don't care 'cause i got what i need oh, yeah, need to get with the program boy, i keep you close like slow dance hit you with that red, don't go there, no, no man met him, then get him, i make sure we stay got the venom to dead him if he want a snake i mean, sneak, i mean, play hide and seek know that i'm gonna find you make sure you get left 'forе you leave i saw you and knew what i was trying to do i had to play it rеal, real smooth and once i made my move i went crazy over you ah, ah over you, only you ah, ah i went crazy over you like e-e-e-e, e-e-e-e, e-e-e-e 2 feels wrong but it's right, right blacked out, no night light pinked out like fight night maxed out of my mind and the price right might buy, might bite never the regular degular would clean my mess up but i'd rather mess it up simple is so-so, i need that oh no don't you know i'm loco? i saw you and knew what i was trying to do i had to play it real, real smooth and once i made my move i went crazy over you ah, ah over you, only you ah, ah i went crazy over you like e-e-e-e, e-e-e-e, e-e-e-e boy, by the time i'm done i won't be the only one acting like you made me you can't blame me swear once you get a taste you gon' take my place and you'll love me crazy sound the alarms i'ma be mad 'til you get me back in them arms ah-ah, ah-ah, ah-ah charge give me you got go insane with it, better love hard love me like crazy i love you crazy"
bet-you-wanna,"cardi b blackpink cardi 1 tell me where you wanna go i'll meet you with my bags at the door uh, i'm gonna make you go blind every time i walk, my hips, they don't lie take me to your paradise 'cause i don't wanna wait anymore uh, i'll say it one more time every time i walk, my hips, they don't lie you wanna touch, wanna touch? of course you wanna you wanna run with my love, i know you wanna from the club to the tub, you said you wanna give me an night hug, i bet you wanna i bet you wanna, i bet you wanna i bet you, i bet you, i bet you wanna i bet you wanna, i bet you wanna something 'bout me's taking you higher hey, hey and you ain't evеr gonna come down you ain't ever, you ain't еver i'm lighting your fire hey, hey and it ain't ever gonna go out it ain't ever, it ain't ever 2 cardi b cardi take the car keys, drive me crazy vroom cardi a good catch, but you gotta chase me ha grab my waistline, but don't ever waste me mmm turn on ""please me,"" but don't ever play me no one of a kind, you can't replace me yes time to shine, i bust down the ap bing the stakes is higher hey let's do what we both desire hey on god, like i'm in the choir woo i bet you if you make me sweat, i'll still be on fire you wanna touch, wanna touch? of course you wanna you wanna run with my love, i know you wanna from the club to the tub, you said you wanna give me an night hug, i bet you wanna i bet you wanna, i bet you wanna i bet you, i bet you, i bet you wanna i bet you wanna, i bet you wanna something 'bout me's taking you higher hey, hey and you ain't ever gonna come down you ain't ever, you ain't ever i'm lighting your fire hey, hey and it ain't ever gonna go out it ain't ever, it ain't ever if you want me me), bet a bit higher wanna look down down), up in the sky, yeah higher, higher, higher, higher, higher boy, better pick it up so damn high lookin' so thick thick), make you desire i'm a whole bit bit), keep you up higher higher, higher, higher, higher, higher something 'bout me's taking you higher hey, hey and you ain't ever gonna come down you ain't ever, you ain't ever i'm lighting your fire ah and it ain't ever gonna go out it ain't ever, it ain't ever something 'bout me's taking you higher hey and you ain't ever gonna come down you ain't ever, you ain't ever cardi b bet you wanna love this, ah"
love-to-hate-me,"love, l-l-love, l-l-love how you love to hate me 1 kinda sad that you always been like that see me making waves and you don't like that driving through your puddles going splish, splash splish, splash, splish, splash stressing over nothing, baby, relax why you getting angry? i'ma kick back only thing i think about is big stacks racks, racks refrain negative days, negative nights baby, you're wasting your time i can't relate, i keep it light no, no, no drama in my life uh both wake up, yeah, makeup, maybe i need you? nah, i been good lately blowin' up, workin' busy you ain't worth my love if you only love to hate me love, l-l-love, l-l-love how you love to hate me love, l-l-love, l-l-love you ain't worth my love if you only love to hate me 2 i'ma let you fade into the background baby, my shows are gettin' too loud keep on turnin' it up when you want me down me down, me down, me down refrain negative days, negative nights baby, you're wasting your time i can't relate, i keep it light no, no, no drama in my life uh both wake up, yeah, makeup, maybe i need you? nah, i been good lately blowin' up, workin' busy you ain't worth my love if you only love to hate me love, l-l-love, l-l-love how you love to hate me love, l-l-love, l-l-love you ain't worth my love if you only love to hate me 3 uh, love to hate me, you hate to love me i'm takin' back what you've taken from me you're mistaken, honey, this something that remind me why i be alone on my own if i needed you, i'd have you, that i know, hold up i could do bad by myself, don't need help one of a kind, the hand that i was dealt, like oh, well felt cupid was stupid, i should have knew it 'cause i been through it, you wouldn't do it if it ain't foolish, stupid you ain't worth my love if you only love to hate me love, l-l-love, l-l-love how you love to hate me love, l-l-love, l-l-love you ain't worth my love if you only love to hate me uh love, l-l-love, l-l-love how you love to hate me love, l-l-love, l-l-love you ain't worth my love if you only love to hate me"
